ID,Name,Cores,RAM,Storage,Bandwidth,CPU,Processor,Monthly Cost,Hourly Cost,Plan Type,Active,Since From,Expired,Description
1,Intel Mega,1,14,1200,50,Intel,Intel Xeon Gold 6226R,420,0.3,Memory Optimized,True,2019-07-02,,"A Memory Optimized VPS plan with 14GB RAM, 1 cores, and 1200GB storage."
2,AMD Mini,2,28,1200,1,AMD,AMD EPYC 7402P,310,0.15,Bandwidth Optimized,True,2012-08-13,,"A Bandwidth Optimized VPS plan with 28GB RAM, 2 cores, and 1200GB storage."
3,Intel Orion,8,28,300,3,Intel,Intel Xeon Silver 4216,170,0.16,Storage Optimized,True,2023-06-30,,"A Storage Optimized VPS plan with 28GB RAM, 8 cores, and 300GB storage."
4,AMD Super,8,4,400,4,AMD,AMD EPYC 7742,160,0.1,Storage Optimized,True,2014-04-21,,"A Storage Optimized VPS plan with 4GB RAM, 8 cores, and 400GB storage."
5,Intel Nano,8,2,900,3,Intel,Intel Xeon Platinum 8276,240,0.11,Storage Optimized,True,2018-12-30,,"A Storage Optimized VPS plan with 2GB RAM, 8 cores, and 900GB storage."
6,AMD Titan,6,14,2000,2,AMD,AMD EPYC 7551P,480,0.17,Storage Optimized,True,2021-02-22,,"A Storage Optimized VPS plan with 14GB RAM, 6 cores, and 2000GB storage."
7,Intel Mini,1,1,700,4,Intel,Intel Xeon Gold 6226R,160,0.06,Bandwidth Optimized,True,2014-08-01,,"A Bandwidth Optimized VPS plan with 1GB RAM, 1 cores, and 700GB storage."
8,AMD Galaxy,24,4,200,5,AMD,AMD EPYC 7402P,230,0.21,Memory Optimized,True,2012-12-08,,"A Memory Optimized VPS plan with 4GB RAM, 24 cores, and 200GB storage."
9,Intel Mega,8,96,500,2,Intel,Intel Xeon Silver 4216,350,0.35,Memory Optimized,True,2010-07-21,,"A Memory Optimized VPS plan with 96GB RAM, 8 cores, and 500GB storage."
10,AMD Nebula,6,96,400,1,AMD,AMD EPYC 7742,320,0.33,Compute Optimized,True,2013-03-03,,"A Compute Optimized VPS plan with 96GB RAM, 6 cores, and 400GB storage."
11,Intel Micro,16,1,1500,10,Intel,Intel Xeon Platinum 8276,430,0.22,Compute Optimized,True,2020-01-30,,"A Compute Optimized VPS plan with 1GB RAM, 16 cores, and 1500GB storage."
12,AMD Pulsar,16,4,1000,4,AMD,AMD EPYC 7551P,330,0.18,Memory Optimized,True,2022-06-08,,"A Memory Optimized VPS plan with 4GB RAM, 16 cores, and 1000GB storage."
13,Intel Mega,4,8,500,20,Intel,Intel Xeon Gold 6226R,200,0.15,Bandwidth Optimized,True,2012-05-30,,"A Bandwidth Optimized VPS plan with 8GB RAM, 4 cores, and 500GB storage."
14,AMD Mega,2,4,1700,4,AMD,AMD EPYC 7402P,370,0.11,Bandwidth Optimized,True,2015-12-05,,"A Bandwidth Optimized VPS plan with 4GB RAM, 2 cores, and 1700GB storage."
15,Intel Micro,10,1,600,100,Intel,Intel Xeon Silver 4216,480,0.51,Compute Optimized,True,2010-04-24,,"A Compute Optimized VPS plan with 1GB RAM, 10 cores, and 600GB storage."
16,AMD Galaxy,1,4,1900,2,AMD,AMD EPYC 7742,400,0.11,Memory Optimized,True,2017-11-01,,"A Memory Optimized VPS plan with 4GB RAM, 1 cores, and 1900GB storage."
17,Intel Phoenix,8,4,1000,20,Intel,Intel Xeon Platinum 8276,320,0.19,Compute Optimized,True,2019-03-24,,"A Compute Optimized VPS plan with 4GB RAM, 8 cores, and 1000GB storage."
18,AMD Sonic,24,2,900,1,AMD,AMD EPYC 7551P,360,0.21,Memory Optimized,True,2018-01-02,,"A Memory Optimized VPS plan with 2GB RAM, 24 cores, and 900GB storage."
19,Intel Cosmos,10,4,100,4,Intel,Intel Xeon Gold 6226R,100,0.1,Memory Optimized,True,2016-10-27,,"A Memory Optimized VPS plan with 4GB RAM, 10 cores, and 100GB storage."
20,AMD Fusion,10,28,1800,4,AMD,AMD EPYC 7402P,500,0.24,Storage Optimized,True,2015-05-08,,"A Storage Optimized VPS plan with 28GB RAM, 10 cores, and 1800GB storage."
21,Intel Apollo,2,96,1700,50,Intel,Intel Xeon Silver 4216,690,0.56,Bandwidth Optimized,True,2020-03-08,,"A Bandwidth Optimized VPS plan with 96GB RAM, 2 cores, and 1700GB storage."
22,AMD Cosmos,1,128,800,100,AMD,AMD EPYC 7742,720,0.81,Memory Optimized,True,2021-11-07,,"A Memory Optimized VPS plan with 128GB RAM, 1 cores, and 800GB storage."
23,Intel Pulsar,2,8,1900,8,Intel,Intel Xeon Platinum 8276,430,0.15,Memory Optimized,True,2022-03-06,,"A Memory Optimized VPS plan with 8GB RAM, 2 cores, and 1900GB storage."
24,AMD Hyper,4,4,1900,100,AMD,AMD EPYC 7551P,720,0.53,Memory Optimized,True,2022-05-04,,"A Memory Optimized VPS plan with 4GB RAM, 4 cores, and 1900GB storage."
25,Intel Micro,2,14,1700,20,Intel,Intel Xeon Gold 6226R,440,0.21,Memory Optimized,True,2021-01-03,,"A Memory Optimized VPS plan with 14GB RAM, 2 cores, and 1700GB storage."
26,AMD Sonic,16,48,2000,20,AMD,AMD EPYC 7402P,670,0.41,Memory Optimized,True,2015-01-24,,"A Memory Optimized VPS plan with 48GB RAM, 16 cores, and 2000GB storage."
27,Intel Quantum,6,4,1800,100,Intel,Intel Xeon Silver 4216,700,0.54,Storage Optimized,True,2017-11-15,,"A Storage Optimized VPS plan with 4GB RAM, 6 cores, and 1800GB storage."
28,AMD Pulsar,4,14,1300,4,AMD,AMD EPYC 7742,330,0.14,Storage Optimized,True,2010-11-18,,"A Storage Optimized VPS plan with 14GB RAM, 4 cores, and 1300GB storage."
29,Intel Galaxy,2,48,1100,50,Intel,Intel Xeon Platinum 8276,480,0.4,Compute Optimized,True,2018-10-28,,"A Compute Optimized VPS plan with 48GB RAM, 2 cores, and 1100GB storage."
30,AMD Titan,6,4,1600,4,AMD,AMD EPYC 7551P,380,0.14,Compute Optimized,True,2011-07-18,,"A Compute Optimized VPS plan with 4GB RAM, 6 cores, and 1600GB storage."
31,Intel Apollo,2,2,1100,10,Intel,Intel Xeon Gold 6226R,270,0.11,Compute Optimized,True,2016-09-09,,"A Compute Optimized VPS plan with 2GB RAM, 2 cores, and 1100GB storage."
32,AMD Fusion,16,96,1600,20,AMD,AMD EPYC 7402P,680,0.53,Storage Optimized,True,2016-11-09,,"A Storage Optimized VPS plan with 96GB RAM, 16 cores, and 1600GB storage."
33,Intel Phoenix,1,1,600,4,Intel,Intel Xeon Silver 4216,140,0.05,Compute Optimized,True,2019-01-09,,"A Compute Optimized VPS plan with 1GB RAM, 1 cores, and 600GB storage."
34,AMD Orion,2,28,1300,10,AMD,AMD EPYC 7742,360,0.19,Memory Optimized,True,2020-10-14,,"A Memory Optimized VPS plan with 28GB RAM, 2 cores, and 1300GB storage."
35,Intel Nebula,6,96,1100,1,Intel,Intel Xeon Platinum 8276,450,0.36,Bandwidth Optimized,True,2022-05-08,,"A Bandwidth Optimized VPS plan with 96GB RAM, 6 cores, and 1100GB storage."
36,AMD Micro,16,4,1200,10,AMD,AMD EPYC 7551P,390,0.21,Bandwidth Optimized,True,2019-11-26,,"A Bandwidth Optimized VPS plan with 4GB RAM, 16 cores, and 1200GB storage."
37,Intel Nova,8,2,1800,5,Intel,Intel Xeon Gold 6226R,430,0.16,Storage Optimized,True,2013-11-29,,"A Storage Optimized VPS plan with 2GB RAM, 8 cores, and 1800GB storage."
38,AMD Mini,10,8,900,10,AMD,AMD EPYC 7402P,300,0.17,Compute Optimized,True,2013-10-05,,"A Compute Optimized VPS plan with 8GB RAM, 10 cores, and 900GB storage."
39,Intel Hyper,12,28,1700,20,Intel,Intel Xeon Silver 4216,530,0.32,Storage Optimized,True,2010-02-25,,"A Storage Optimized VPS plan with 28GB RAM, 12 cores, and 1700GB storage."
40,AMD Phoenix,2,8,100,3,AMD,AMD EPYC 7742,60,0.05,Bandwidth Optimized,True,2020-07-22,,"A Bandwidth Optimized VPS plan with 8GB RAM, 2 cores, and 100GB storage."
41,Intel Orion,6,2,300,20,Intel,Intel Xeon E5-2680,150,0.14,Bandwidth Optimized,False,2015-10-31,2021-08-01,"A Bandwidth Optimized VPS plan with 2GB RAM, 6 cores, and 300GB storage."
42,AMD Nebula,6,48,200,100,AMD,AMD Opteron 6376,470,0.6,Storage Optimized,False,2023-06-11,2027-12-31,"A Storage Optimized VPS plan with 48GB RAM, 6 cores, and 200GB storage."
43,Intel Phoenix,24,14,100,20,Intel,Intel Xeon E5620,230,0.29,Memory Optimized,False,2014-09-27,2018-07-17,"A Memory Optimized VPS plan with 14GB RAM, 24 cores, and 100GB storage."
44,AMD Pulsar,2,1,1200,20,AMD,AMD Ryzen 5 1600,310,0.15,Bandwidth Optimized,False,2012-03-05,2020-04-22,"A Bandwidth Optimized VPS plan with 1GB RAM, 2 cores, and 1200GB storage."
45,Intel Hyper,4,28,100,5,Intel,Intel Xeon E5-2680,110,0.13,Memory Optimized,False,2016-05-08,2024-08-23,"A Memory Optimized VPS plan with 28GB RAM, 4 cores, and 100GB storage."
46,AMD Titan,1,128,1200,8,AMD,AMD Ryzen 7 2700X,520,0.45,Bandwidth Optimized,False,2016-07-10,2024-04-23,"A Bandwidth Optimized VPS plan with 128GB RAM, 1 cores, and 1200GB storage."
47,Intel Fusion,1,96,500,2,Intel,Intel Xeon E5620,300,0.3,Storage Optimized,False,2020-04-06,2025-03-06,"A Storage Optimized VPS plan with 96GB RAM, 1 cores, and 500GB storage."
48,AMD Aero,12,4,600,10,AMD,AMD Ryzen 7 2700X,220,0.16,Memory Optimized,False,2010-01-28,2019-07-20,"A Memory Optimized VPS plan with 4GB RAM, 12 cores, and 600GB storage."
49,Intel Mega,6,48,1200,10,Intel,Intel Xeon E5620,400,0.27,Compute Optimized,False,2010-08-25,2016-09-23,"A Compute Optimized VPS plan with 48GB RAM, 6 cores, and 1200GB storage."
50,AMD Nebula,24,14,1300,8,AMD,AMD Ryzen 7 2700X,430,0.29,Storage Optimized,False,2017-06-15,2021-04-17,"A Storage Optimized VPS plan with 14GB RAM, 24 cores, and 1300GB storage."
51,Intel Blaze,4,96,400,5,Intel,Intel Xeon E5-2680,310,0.33,Bandwidth Optimized,False,2016-07-28,2020-07-01,"A Bandwidth Optimized VPS plan with 96GB RAM, 4 cores, and 400GB storage."
52,AMD Mega,6,128,1000,50,AMD,AMD Opteron 6376,640,0.65,Compute Optimized,False,2013-07-17,2017-08-22,"A Compute Optimized VPS plan with 128GB RAM, 6 cores, and 1000GB storage."
53,Intel Super,8,128,500,2,Intel,Intel Xeon E5-2680,400,0.44,Memory Optimized,False,2023-05-03,2034-02-18,"A Memory Optimized VPS plan with 128GB RAM, 8 cores, and 500GB storage."
54,AMD Orion,24,4,400,10,AMD,AMD Ryzen 5 1600,240,0.24,Bandwidth Optimized,False,2015-02-13,2025-10-16,"A Bandwidth Optimized VPS plan with 4GB RAM, 24 cores, and 400GB storage."
55,Intel Nano,2,4,800,50,Intel,Intel Xeon E3-1270,330,0.27,Compute Optimized,False,2023-09-09,2025-10-20,"A Compute Optimized VPS plan with 4GB RAM, 2 cores, and 800GB storage."
56,AMD Nova,6,128,1000,5,AMD,AMD Opteron 6376,500,0.46,Compute Optimized,False,2013-03-09,2014-11-24,"A Compute Optimized VPS plan with 128GB RAM, 6 cores, and 1000GB storage."
57,Intel Sonic,16,1,1600,4,Intel,Intel Xeon E5620,410,0.2,Memory Optimized,False,2017-05-06,2027-03-21,"A Memory Optimized VPS plan with 1GB RAM, 16 cores, and 1600GB storage."
58,AMD Orion,2,48,800,1,AMD,AMD Opteron 6376,270,0.18,Storage Optimized,False,2013-09-09,2017-11-19,"A Storage Optimized VPS plan with 48GB RAM, 2 cores, and 800GB storage."
59,Intel Nano,8,96,1200,50,Intel,Intel Xeon E3-1270,620,0.58,Memory Optimized,False,2018-11-08,2026-08-22,"A Memory Optimized VPS plan with 96GB RAM, 8 cores, and 1200GB storage."
60,AMD Galaxy,16,96,900,20,AMD,AMD Ryzen 5 1600,510,0.5,Bandwidth Optimized,False,2010-04-29,2019-05-31,"A Bandwidth Optimized VPS plan with 96GB RAM, 16 cores, and 900GB storage."
61,Intel Apollo,2,1,1900,5,Intel,Intel Xeon E3-1270,410,0.12,Memory Optimized,False,2011-12-09,2015-12-21,"A Memory Optimized VPS plan with 1GB RAM, 2 cores, and 1900GB storage."
62,AMD Super,1,128,2000,4,AMD,AMD Opteron 6376,670,0.46,Bandwidth Optimized,False,2019-10-30,2029-07-02,"A Bandwidth Optimized VPS plan with 128GB RAM, 1 cores, and 2000GB storage."
63,Intel Pulsar,12,48,1000,4,Intel,Intel Xeon E5-2680,370,0.28,Compute Optimized,False,2014-03-08,2020-01-13,"A Compute Optimized VPS plan with 48GB RAM, 12 cores, and 1000GB storage."
64,AMD Orion,12,2,1900,2,AMD,AMD Opteron 6376,450,0.18,Memory Optimized,False,2023-08-13,2026-09-27,"A Memory Optimized VPS plan with 2GB RAM, 12 cores, and 1900GB storage."
65,Intel Hyper,16,28,400,50,Intel,Intel Xeon E5620,370,0.41,Compute Optimized,False,2013-07-27,2015-03-07,"A Compute Optimized VPS plan with 28GB RAM, 16 cores, and 400GB storage."
66,AMD Galaxy,24,1,200,3,AMD,AMD Ryzen 7 2700X,170,0.19,Storage Optimized,False,2023-11-24,2032-12-12,"A Storage Optimized VPS plan with 1GB RAM, 24 cores, and 200GB storage."
67,Intel Quantum,6,48,200,20,Intel,Intel Xeon E5-2680,230,0.27,Memory Optimized,False,2013-10-13,2015-04-28,"A Memory Optimized VPS plan with 48GB RAM, 6 cores, and 200GB storage."
68,AMD Titan,6,14,300,3,AMD,AMD Ryzen 7 2700X,130,0.11,Memory Optimized,False,2012-11-26,2023-05-19,"A Memory Optimized VPS plan with 14GB RAM, 6 cores, and 300GB storage."
69,Intel Apollo,24,28,600,50,Intel,Intel Xeon E5-2680,450,0.48,Bandwidth Optimized,False,2011-12-30,2021-12-22,"A Bandwidth Optimized VPS plan with 28GB RAM, 24 cores, and 600GB storage."
70,AMD Mega,10,96,1000,8,AMD,AMD Ryzen 7 2700X,470,0.41,Bandwidth Optimized,False,2014-05-31,2017-07-29,"A Bandwidth Optimized VPS plan with 96GB RAM, 10 cores, and 1000GB storage."
71,Intel Aero,4,1,2000,2,Intel,Intel Xeon E3-1270,430,0.12,Compute Optimized,False,2011-06-26,2016-10-25,"A Compute Optimized VPS plan with 1GB RAM, 4 cores, and 2000GB storage."
72,AMD Fusion,4,8,1300,4,AMD,AMD Opteron 6376,310,0.12,Memory Optimized,False,2017-04-02,2021-11-24,"A Memory Optimized VPS plan with 8GB RAM, 4 cores, and 1300GB storage."
73,Intel Quantum,8,1,1200,5,Intel,Intel Xeon E5620,300,0.13,Compute Optimized,False,2014-04-30,2018-05-02,"A Compute Optimized VPS plan with 1GB RAM, 8 cores, and 1200GB storage."
74,AMD Aero,4,8,700,1,AMD,AMD Opteron 6376,180,0.08,Compute Optimized,False,2022-06-26,2030-03-31,"A Compute Optimized VPS plan with 8GB RAM, 4 cores, and 700GB storage."
75,Intel Micro,12,28,1800,10,Intel,Intel Xeon E5620,510,0.28,Compute Optimized,False,2016-06-23,2026-12-22,"A Compute Optimized VPS plan with 28GB RAM, 12 cores, and 1800GB storage."
76,AMD Apollo,12,8,1600,100,AMD,AMD Opteron 6376,700,0.59,Memory Optimized,False,2018-07-03,2021-05-18,"A Memory Optimized VPS plan with 8GB RAM, 12 cores, and 1600GB storage."
77,Intel Fusion,16,8,1800,100,Intel,Intel Xeon E5620,760,0.62,Storage Optimized,False,2022-04-24,2033-01-28,"A Storage Optimized VPS plan with 8GB RAM, 16 cores, and 1800GB storage."
78,AMD Mini,6,14,1900,10,AMD,AMD Ryzen 5 1600,470,0.2,Memory Optimized,False,2014-03-28,2018-06-16,"A Memory Optimized VPS plan with 14GB RAM, 6 cores, and 1900GB storage."
79,Intel Apollo,6,128,1300,20,Intel,Intel Xeon E3-1270,610,0.53,Bandwidth Optimized,False,2018-04-15,2023-03-11,"A Bandwidth Optimized VPS plan with 128GB RAM, 6 cores, and 1300GB storage."
80,AMD Aero,2,1,1100,10,AMD,AMD Ryzen 7 2700X,260,0.1,Memory Optimized,False,2016-05-07,2019-06-14,"A Memory Optimized VPS plan with 1GB RAM, 2 cores, and 1100GB storage."
81,Intel Titan,6,48,800,3,Intel,Intel Xeon E5620,300,0.22,Compute Optimized,False,2020-05-31,2030-06-25,"A Compute Optimized VPS plan with 48GB RAM, 6 cores, and 800GB storage."
82,AMD Quantum,4,8,1600,2,AMD,AMD Ryzen 7 2700X,360,0.12,Compute Optimized,False,2015-11-29,2020-11-03,"A Compute Optimized VPS plan with 8GB RAM, 4 cores, and 1600GB storage."
83,Intel Apollo,6,128,1300,50,Intel,Intel Xeon E5620,700,0.66,Storage Optimized,False,2017-03-26,2024-05-26,"A Storage Optimized VPS plan with 128GB RAM, 6 cores, and 1300GB storage."
84,AMD Nebula,16,128,1200,4,AMD,AMD Opteron 6376,590,0.53,Compute Optimized,False,2016-10-22,2024-12-22,"A Compute Optimized VPS plan with 128GB RAM, 16 cores, and 1200GB storage."
85,Intel Cosmos,16,14,2000,8,Intel,Intel Xeon E3-1270,530,0.27,Storage Optimized,False,2023-10-12,2030-08-07,"A Storage Optimized VPS plan with 14GB RAM, 16 cores, and 2000GB storage."
86,AMD Super,2,28,100,5,AMD,AMD Opteron 6376,100,0.12,Bandwidth Optimized,False,2015-09-02,2025-10-06,"A Bandwidth Optimized VPS plan with 28GB RAM, 2 cores, and 100GB storage."
87,Intel Nova,12,128,2000,1,Intel,Intel Xeon E5620,720,0.53,Storage Optimized,False,2010-06-22,2018-11-19,"A Storage Optimized VPS plan with 128GB RAM, 12 cores, and 2000GB storage."
88,AMD Hyper,6,14,1400,20,AMD,AMD Ryzen 7 2700X,400,0.22,Bandwidth Optimized,False,2022-03-09,2030-12-07,"A Bandwidth Optimized VPS plan with 14GB RAM, 6 cores, and 1400GB storage."
89,Intel Apollo,4,8,700,100,Intel,Intel Xeon E3-1270,480,0.5,Compute Optimized,False,2011-08-23,2021-07-09,"A Compute Optimized VPS plan with 8GB RAM, 4 cores, and 700GB storage."
90,AMD Nebula,10,48,1800,100,AMD,AMD Ryzen 7 2700X,810,0.69,Storage Optimized,False,2010-02-02,2014-07-21,"A Storage Optimized VPS plan with 48GB RAM, 10 cores, and 1800GB storage."
91,Intel Sonic,1,96,1100,4,Intel,Intel Xeon E3-1270,430,0.34,Memory Optimized,False,2018-08-01,2019-10-12,"A Memory Optimized VPS plan with 96GB RAM, 1 cores, and 1100GB storage."
92,AMD Nano,10,28,400,10,AMD,AMD Opteron 6376,220,0.21,Compute Optimized,False,2016-03-08,2025-11-05,"A Compute Optimized VPS plan with 28GB RAM, 10 cores, and 400GB storage."
93,Intel Titan,10,48,600,8,Intel,Intel Xeon E5620,290,0.26,Memory Optimized,False,2018-09-13,2021-12-06,"A Memory Optimized VPS plan with 48GB RAM, 10 cores, and 600GB storage."
94,AMD Blaze,4,4,1700,4,AMD,AMD Ryzen 7 2700X,380,0.13,Bandwidth Optimized,False,2016-09-05,2024-10-08,"A Bandwidth Optimized VPS plan with 4GB RAM, 4 cores, and 1700GB storage."
95,Intel Orion,1,128,1100,20,Intel,Intel Xeon E5620,540,0.49,Compute Optimized,False,2021-05-05,2027-09-04,"A Compute Optimized VPS plan with 128GB RAM, 1 cores, and 1100GB storage."
96,AMD Nova,1,8,1000,10,AMD,AMD Opteron 6376,250,0.11,Compute Optimized,False,2017-06-25,2028-03-19,"A Compute Optimized VPS plan with 8GB RAM, 1 cores, and 1000GB storage."
97,Intel Mini,1,1,100,100,Intel,Intel Xeon E3-1270,330,0.43,Compute Optimized,False,2013-02-12,2015-09-19,"A Compute Optimized VPS plan with 1GB RAM, 1 cores, and 100GB storage."
98,AMD Fusion,2,8,1400,2,AMD,AMD Opteron 6376,310,0.1,Memory Optimized,False,2014-10-16,2021-02-07,"A Memory Optimized VPS plan with 8GB RAM, 2 cores, and 1400GB storage."
99,Intel Hyper,8,96,1500,20,Intel,Intel Xeon E5620,590,0.47,Compute Optimized,False,2012-09-21,2021-05-08,"A Compute Optimized VPS plan with 96GB RAM, 8 cores, and 1500GB storage."
100,AMD Galaxy,2,4,1000,20,AMD,AMD Ryzen 7 2700X,280,0.15,Compute Optimized,False,2018-11-13,2021-03-14,"A Compute Optimized VPS plan with 4GB RAM, 2 cores, and 1000GB storage."
